2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
1.785908	2.262197	6.253307	8.179008	
1.783425	2.301112	5.992557	7.864435	
1.732237	2.148225	6.108084	8.095757	
1.905259	2.249248	6.140797	8.088074	
1.815875	2.252150	6.075284	7.942995	
1.817348	2.263644	6.240932	8.075339	
1.764120	2.241336	6.062004	7.939380	
1.768271	2.146364	6.183625	7.930497	
1.780928	2.220807	6.141432	7.883180	
1.789566	2.189579	6.044787	7.834190	
1.721831	2.257813	5.950546	7.606617	
1.716789	2.164627	6.059865	7.754590	
1.768520	2.335977	5.960706	7.786110	
1.672777	2.217969	5.917515	7.625717	
1.722883	2.237651	5.832160	7.516791	
1.797103	2.256055	6.233667	8.011094	
1.665743	2.181729	5.874242	7.679481	
1.666587	2.252999	5.829190	7.543777	
1.774401	2.178299	5.942455	7.693754	
1.749535	2.223613	6.059534	7.799894	
1.775977	2.235032	6.091686	7.767594	
1.758604	2.026990	6.182711	8.047026	
1.738113	2.210587	5.939805	7.768841	
1.561543	2.124911	5.683485	7.359416	
1.813392	2.174176	5.958164	7.831266	
1.676392	2.111938	5.868437	7.647015	
1.667387	2.219785	5.750540	7.462419	
1.680463	2.120725	5.883885	7.784949	
1.616124	2.100893	5.779151	7.533300	
1.621842	2.034263	5.873553	7.592564	
1.610743	2.071723	5.847550	7.547758	
1.764360	2.146579	5.836946	7.644636	
1.634114	2.034989	6.111544	7.722255	
1.713275	2.121764	5.796676	7.362886	
1.758586	2.135609	5.892526	7.667785	
1.679487	1.999854	5.852436	7.664960	
1.638926	2.000846	5.933750	7.813835	
1.553485	2.001177	5.937808	7.788691	
1.590784	1.928513	5.768914	7.577273	
1.602849	2.072962	5.627891	7.336030	
1.583517	2.103473	5.624683	7.391583	
1.598719	2.005624	5.702626	7.455139	
1.599645	2.023896	5.532279	7.234634	
1.515971	2.013330	5.506678	7.300522	
1.627729	2.016251	5.769692	7.399061	
1.572192	2.012085	5.790922	7.377314	
1.555112	2.080969	5.623789	7.086900	
1.568935	1.968656	5.812355	7.346318	
1.534188	1.993209	5.795531	7.290862	
1.465933	1.919681	5.730879	7.456742	
1.578696	2.016870	5.814595	7.348342	
1.557904	1.979401	5.649369	7.398267	
1.513692	1.960999	5.544971	7.185368	
1.493893	1.946303	5.697107	7.391515	
1.607436	1.953262	5.692663	7.402374	
1.583449	1.938757	5.616606	7.322108	
1.545122	1.922678	5.721704	7.492293	
1.519710	1.979843	5.687446	7.294987	
1.528122	1.918937	5.572170	7.183837	
1.525413	1.888605	5.691307	7.228469	
1.459262	1.830415	5.628378	7.127522	
1.511261	1.912629	5.602846	7.176122	
1.475564	1.938302	5.630247	7.017562	
1.484044	1.933070	5.428881	6.840705	
1.519864	1.886734	5.594509	7.204514	
1.492229	1.838819	5.589523	7.219525	
1.503942	1.962859	5.463534	7.075013	
1.558824	1.951789	5.503070	7.050408	
1.675702	1.984316	5.506395	7.104180	
1.475087	1.893191	5.375075	6.918942	
1.407237	1.927670	5.331998	6.743112	
1.331103	1.822737	5.190407	6.471579	
1.411272	1.875762	5.409151	6.863755	
1.400257	1.828434	5.564095	7.023601	
1.499786	1.899334	5.394710	6.860181	
1.465543	1.713487	5.515463	6.870595	
1.498067	1.921978	5.449023	6.951755	
1.519698	1.809473	5.634797	7.114421	
1.426528	1.862571	5.436497	6.871276	
1.417505	1.956534	5.236247	6.697896	
1.436706	1.776479	5.604663	7.227112	
1.394418	1.822428	5.436496	6.923230	
1.494229	1.839528	5.396983	6.945001	
1.442546	1.869792	5.348835	7.030645	
1.422342	1.816308	5.394737	6.969346	
1.430207	1.679575	5.516399	7.123881	
1.413842	1.723776	5.433232	6.922096	
1.365365	1.826908	5.272477	6.685479	
1.443513	1.738270	5.329015	6.840450	
1.330706	1.902439	5.101113	6.414496	
1.423549	1.751100	5.523155	7.079684	
1.409495	1.771003	5.405985	6.836671	
1.393097	1.794942	5.306471	6.713064	
1.318881	1.747492	5.204890	6.668807	
1.374661	1.835706	5.285510	6.664905	
1.329420	1.685718	5.179842	6.658260	
1.376235	1.746294	5.428535	6.945735	
1.435201	1.659732	5.499150	7.126202	
1.334194	1.730034	5.313681	6.903099	
1.310201	1.696578	5.244869	6.843964	
1.366586	1.847672	5.100402	6.595889	
1.378186	1.714639	5.187862	6.768318	
1.373327	1.765219	5.210247	6.759781	
1.227990	1.752882	5.008203	6.308195	
1.303281	1.789818	4.966749	6.400276	
1.375445	1.799797	5.163866	6.609796	
1.309253	1.711019	5.203402	6.599118	
1.337559	1.675641	5.239448	6.556437	
1.372702	1.738287	5.234194	6.698415	
1.353490	1.710044	5.205389	6.639607	
1.436212	1.779641	5.169788	6.513199	
1.315738	1.707451	5.198641	6.525708	
1.335012	1.702862	5.255367	6.704295	
1.297702	1.759593	5.134216	6.609075	
1.236071	1.550935	5.036824	6.535118	
1.231567	1.625141	4.953600	6.435925	
1.303198	1.762864	4.961542	6.371508	
1.334388	1.615767	5.066343	6.772133	
1.245615	1.611440	4.863162	6.175995	
1.320155	1.601731	5.109646	6.577241	
1.244131	1.607987	5.163565	6.392235	
1.285553	1.630682	5.099689	6.337176	
1.324638	1.577743	5.156160	6.624588	
1.324227	1.604624	5.133299	6.597217	
1.218910	1.601593	4.988183	6.308511	
1.322471	1.668426	4.995878	6.454381	
1.371919	1.667466	4.980121	6.435066	
1.260974	1.628535	4.861203	6.343362	
1.279201	1.679582	4.936270	6.459339	
1.246286	1.648341	4.826137	6.151708	
1.209496	1.677739	4.789368	6.140031	
1.305735	1.591327	4.839268	6.309134	
1.243877	1.586524	5.016060	6.364144	
1.229703	1.525237	5.089518	6.482689	
1.200797	1.578908	4.885154	6.103948	
1.288280	1.534535	5.109192	6.497149	
1.216623	1.625850	4.957341	6.447418	
1.229883	1.577038	4.993922	6.510201	
1.249721	1.593865	4.967614	6.408507	
1.206871	1.521985	4.833423	6.283790	
1.197639	1.524578	4.844713	6.351832	
1.297855	1.608209	4.868664	6.266258	
1.209715	1.574070	4.860575	6.307634	
1.304240	1.594051	4.963365	6.492164	
1.161776	1.550163	4.784601	6.017888	
1.201323	1.479187	4.742828	6.106276	
1.218651	1.558257	4.871274	6.205527	
1.147932	1.558522	4.654295	5.864505	
1.189306	1.514735	4.743832	5.862541	
1.166558	1.545637	4.758562	5.980184	
1.278782	1.605489	4.996225	6.272060	
1.192272	1.499733	4.911848	6.245287	
1.204222	1.527115	4.726416	6.180574	
1.184658	1.558228	4.746865	6.285287	
1.187212	1.514814	4.768819	6.208190	
1.096683	1.520995	4.640958	6.113932	
1.139539	1.475558	4.594070	5.966598	
1.218077	1.611519	4.616570	5.938330	
1.152758	1.534950	4.735922	6.156182	
1.136026	1.488979	4.687048	6.000937	
1.136717	1.548428	4.558358	5.723441	
1.079204	1.500025	4.480366	5.656997	
1.118005	1.629348	4.547144	5.717859	
1.096127	1.421338	4.684086	5.958958	
1.118227	1.440190	4.545481	5.744764	
1.106326	1.506989	4.560758	5.776023	
1.172750	1.467261	4.663711	5.968815	
1.194762	1.415538	4.611764	5.951577	
1.103771	1.422952	4.627848	5.961964	
1.124693	1.557541	4.524395	5.826732	
1.147919	1.409929	4.599468	6.066745	
1.147167	1.460579	4.643725	6.147977	
1.135700	1.483194	4.588058	6.030497	
1.105145	1.405974	4.441049	5.818720	
1.108838	1.396524	4.533216	5.987957	
1.125205	1.428120	4.384761	5.620870	
1.098253	1.482459	4.460983	5.717265	
1.198214	1.539045	4.556526	5.823183	
1.083269	1.373295	4.573277	5.917336	
1.148412	1.425381	4.653064	5.821805	
1.095128	1.352325	4.529400	5.710974	
1.136778	1.426972	4.464744	5.770196	
1.010709	1.348431	4.469131	5.756418	
1.079863	1.387584	4.550989	6.028227	
1.141408	1.384698	4.493728	6.010837	
1.051098	1.451723	4.343902	5.715769	
1.065162	1.393548	4.491823	5.866911	
1.165079	1.444309	4.426536	5.827421	
1.110464	1.434909	4.384526	5.687367	
1.017650	1.262264	4.355190	5.750555	
1.106446	1.418860	4.462261	5.807878	
1.084718	1.397088	4.404527	5.681794	
1.044215	1.340875	4.423759	5.700501	
1.068276	1.456999	4.365282	5.649733	
1.064029	1.395898	4.204916	5.431356	
1.157304	1.378509	4.433334	5.723860	
1.064421	1.362145	4.402051	5.566741	
1.136422	1.384636	4.419214	5.826579	
1.043984	1.380759	4.285703	5.647926	
0.996464	1.332811	4.247969	5.551962	
1.107926	1.301814	4.345063	5.703575	
1.094549	1.329117	4.460948	5.865026	
1.077378	1.347733	4.430426	5.713968	
1.099939	1.284332	4.535059	5.959334	
1.021020	1.283864	4.250143	5.451097	
0.964102	1.302383	4.221107	5.390992	
1.086946	1.394887	4.295127	5.550371	
1.025809	1.329935	4.255614	5.597444	
1.087890	1.395807	4.338430	5.665960	
0.959681	1.345923	4.144687	5.293856	
1.077013	1.299378	4.236978	5.552177	
1.048918	1.343811	4.036231	5.303645	
1.031350	1.316475	4.100394	5.338174	
1.049921	1.341691	4.264674	5.450796	
1.034168	1.230902	4.349253	5.735914	
1.098471	1.368769	4.339738	5.635156	
0.970628	1.295252	4.255481	5.543035	
1.128779	1.287269	4.259798	5.625426	
1.092120	1.364268	4.252246	5.598802	
0.972780	1.287490	4.190098	5.518530	
0.993600	1.280312	4.092149	5.414753	
1.011394	1.229341	4.209550	5.538826	
1.010903	1.382528	4.106471	5.417477	
0.974867	1.291614	4.057400	5.398447	
0.972884	1.212558	4.122866	5.419754	
0.985705	1.248144	4.201345	5.498994	
0.943361	1.302419	4.126507	5.412791	
0.957750	1.257483	4.066609	5.304743	
0.992543	1.299691	4.142973	5.398763	
0.954005	1.268062	4.118648	5.429264	
1.057037	1.290117	4.078017	5.366078	
0.914024	1.250093	4.096470	5.353385	
0.959521	1.222951	3.986833	5.221732	
0.966453	1.239938	4.025370	5.212216	
0.978596	1.283385	4.058577	5.493382	
1.024047	1.264481	3.971201	5.184512	
0.954027	1.235469	4.008086	5.308287	
0.896183	1.253864	4.028004	5.293762	
1.025587	1.297454	4.084540	5.455896	
0.916240	1.290190	4.027686	5.239074	
0.908149	1.276183	3.944875	5.123763	
0.955646	1.266709	4.011463	5.207311	
